organization_id, org_name, site_id, site_name, latitude, longitude, elevation, measured_on, soil phs:userid,soil phs:horizon number,soil phs:horizon top depth (cm),soil phs:horizon bottom depth (cm),soil phs:reference depth level 5cm,soil phs:reference depth level 10cm,soil phs:reference depth level 30cm,soil phs:reference depth level 50cm,soil phs:reference depth level 60cm,soil phs:reference depth level 90cm,soil phs:collected on,soil phs:ph,soil phs:ph method,soil phs:comments,soil phs:globe teams
The GLOBE ID assigned to the school or organization,The name of the reporting school or other institution,The GLOBE ID assigned to the site,The name assigned to the site where the data were collected; the name is selected by the reporting person as part of site definition,The latitude of the site where data were observed in decimal degrees,The longitude of the site where date were observed in decimal degrees,The elevation of the site where data were observed in meters,The date only of when the data were observed in Coordinated Universal Time (UTC),,Horizon number of the soil characterization measurements,Soil horizon top depth in centimeters,Soil horizon bottom depth in centimeters,Number of the soil horizon at 5 cm depth,Number of the soil horizon at 10 cm depth,Number of the soil horizon at 30 cm depth,Number of the soil horizon at 50 cm depth,Number of the soil horizon at 60 cm depth,Number of the soil horizon at 90 cm depth,Date sample was collected for measurement of soil pH,pH of the soil horizon,"Method used to measure soil pH: paper, pen, or meter",Comments on the soil pH measurement,
3159397,Ain Jaloot basic school,32407,Ain Jaloot soil:SCS-01,23.53302,57.16531,0,2/27/2013,3371281,2,30,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2013-02-27T00:00:00,8.4,meter,,
3159397,Ain Jaloot basic school,32407,Ain Jaloot soil:SCS-01,23.53302,57.16531,0,2/27/2013,3371281,3,45,89,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2013-02-27T00:00:00,7.7,meter,,
3159397,Ain Jaloot basic school,32407,Ain Jaloot soil:SCS-01,23.53302,57.16531,0,2/27/2013,3371281,4,89,104,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2013-02-27T00:00:00,7.7,meter,,
3159397,Ain Jaloot basic school,147399,Dyan albosaid farm,23.53551,57.15491,4,2/17/2019,3371281,1,0,100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019-02-17T00:00:00,7.5,meter,,
3159397,Ain Jaloot basic school,148991,dyan aljahawir farm,23.51534,57.14077,4,2/16/2019,3371281,1,0,100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019-02-16T00:00:00,7.5,meter,,
166988,Akiachak High School,16459,Akiachak gas station:SCS-01,60.8898,-161.3923,1,9/12/2003,-1,1,0,20.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2003-09-12T00:00:00,6,paper,,
166988,Akiachak High School,16459,Akiachak gas station:SCS-01,60.8898,-161.3923,1,9/12/2003,-1,2,20.5,30.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2003-09-12T00:00:00,5,paper,,
166988,Akiachak High School,16459,Akiachak gas station:SCS-01,60.8898,-161.3923,1,9/12/2003,-1,3,30.5,35.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2003-09-12T00:00:00,6,paper,,
166988,Akiachak High School,16459,Akiachak gas station:SCS-01,60.8898,-161.3923,1,9/12/2003,-1,4,35.5,40.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2003-09-12T00:00:00,5,paper,,
166988,Akiachak High School,16459,Akiachak gas station:SCS-01,60.8898,-161.3923,1,9/12/2003,-1,5,40.5,49.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2003-09-12T00:00:00,6,paper,,
2853242,Al Alsuni Intermediate and Secondary Girls School at Al-Laith,11856,Al alsuni Secondary Girls School:SCS-01,20.2728,40.8892,264,6/13/2012,-1,1,0,18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2012-06-13T00:00:00,7,meter,,
19945232,Al-Anjal Intermediate School at Al-Ahsa,50387,Anjal  soil,25.45444,49.7336,150,4/15/2017,19945870,1,0,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2017-04-15T00:00:00,8.2,meter,,
9902361,Al-Baihgi intermediate School at Riyadh,33839,منطقة نمار,24.56851,46.67402,521.5,3/7/2015,9902790,1,0,26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2015-03-07T00:00:00,8.5,meter,,
9902361,Al-Baihgi intermediate School at Riyadh,33839,منطقة نمار,24.56851,46.67402,521.5,3/7/2015,9902790,2,26,46,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2015-03-07T00:00:00,9,meter,,
9902361,Al-Baihgi intermediate School at Riyadh,33839,منطقة نمار,24.56851,46.67402,521.5,3/7/2015,9902790,3,46,77,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2015-03-07T00:00:00,8.3,meter,,
9902361,Al-Baihgi intermediate School at Riyadh,33839,منطقة نمار,24.56851,46.67402,521.5,3/7/2015,9902790,4,77,99,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2015-03-07T00:00:00,7.8,meter,,
9902361,Al-Baihgi intermediate School at Riyadh,33839,منطقة نمار,24.56851,46.67402,521.5,3/7/2015,9902790,5,99,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2015-03-07T00:00:00,8.1,meter,,
23061684,Al duqom basic school,103289,ALduqm,19.37114,57.37877,27,12/8/2017,23347331,1,0,55,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2017-12-08T00:00:00,8,meter,,
23061684,Al duqom basic school,103289,ALduqm,19.37114,57.37877,27,12/8/2017,23347331,2,55,70,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2017-12-08T00:00:00,8.2,meter,,
23061684,Al duqom basic school,103289,ALduqm,19.37114,57.37877,27,12/8/2017,23347331,3,70,100,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2017-12-08T00:00:00,8,meter,,
23061684,Al duqom basic school,103256,ALduqm school,19.37324,57.37876,32,12/8/2017,23347331,1,0,55,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2017-12-08T00:00:00,8,meter,,
23061684,Al duqom basic school,103256,ALduqm school,19.37324,57.37876,32,12/8/2017,23347331,2,55,70,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2017-12-08T00:00:00,8.2,meter,,
23061684,Al duqom basic school,103256,ALduqm school,19.37324,57.37876,32,12/8/2017,23347331,3,70,100,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2017-12-08T00:00:00,8,meter,,
23062480,Alemam ahmed bin said basic school,48158,almuna,23.54661,58.3927,94,2/26/2017,23325166,1,0,23,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2017-02-26T00:00:00,8.1,meter,,
23062480,Alemam ahmed bin said basic school,106962,التربة مدرسة الامام أحمد بن سعيد,24.341603,56.739414,3,3/13/2018,23325166,1,0,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2018-03-13T00:00:00,8.5,meter,,
